,agent,model,train_block,train_nll_hybrid,val_nll_hybrid,test_nll_hybrid,train_nll_habit,val_nll_habit,test_nll_habit,train_nll_kdh,val_nll_kdh,test_nll_kdh,train_nll_lr,val_nll_lr,test_nll_lr
86,86,hybrid,0,326.934158165062,336.4805088363918,327.7614953304124,339.21798304218476,346.31757798620686,348.72706388932016,345.74063338913163,345.9012887839869,346.6069800813373,311.1313371581047,351.0624702402611,354.6321660714759
87,87,hybrid,0,283.1654281026695,246.87768970278572,240.90067183981196,346.57349027998276,346.57349027998276,346.57349027998276,346.41346706022875,351.8226638178949,342.5726431273036,289.68397395180375,268.93413958808225,279.68729022594334
88,88,hybrid,0,266.0307687880892,276.5575084318559,288.36869016665196,292.0486873252229,306.4054807062303,318.0791925567413,323.61331816872666,346.08478510533314,357.63211360621233,264.3580880374318,302.20033320764935,335.77147378046095
89,89,hybrid,0,219.75846680085638,199.20969884560222,218.7952197279709,297.3956740428504,287.1331757799748,293.2589577442828,329.47345032142516,353.4149571412904,346.5046153925445,222.5049207297054,230.08813220132737,252.9764274338251
90,90,hybrid,0,183.34265325269575,168.0358243569363,149.8610730752216,260.27263262625655,229.91783563680758,235.11877357005872,305.2605879162911,392.44713313425325,442.1713826324899,194.3723868145451,205.9232189259192,211.69213514791306
91,91,hybrid,0,213.38028798024303,221.85985480243434,211.20028983515158,286.96419598630007,298.6768864876383,284.30942642525906,339.8831234379945,369.60967400880156,358.4977844768697,213.89229310201034,247.04043049277345,241.56166494436778
92,92,hybrid,0,341.510005780524,354.4235016676512,345.24956150011803,346.57349027998276,346.57349027998276,346.57349027998276,346.3414355470136,346.3414935942511,347.71798386161277,328.0621580799404,349.4256871428461,344.37556832668537
93,93,hybrid,0,342.18904970539324,346.57349027998276,346.57349027998276,346.57349027998276,346.57349027998276,346.57349027998276,344.90736415336403,344.84294198939,348.5673848891465,327.9684891298821,346.6633623363421,347.02062755967506
94,94,hybrid,0,288.5321183310866,285.277652280847,289.76534650185397,321.5393874313209,330.7966078777781,330.83813391251294,342.20591916066695,356.70394439470414,355.1578465010722,293.5121434583667,310.89328899418615,339.4507872466763
95,95,hybrid,0,344.46621457629067,346.5746339736316,345.69711516701443,346.57349027998276,346.57349027998276,346.57349027998276,345.76463466926225,347.0957157331502,348.1701125785591,329.75129189947023,347.79593369156476,360.6793136467295
96,96,hybrid,0,302.3588351239207,310.0486614458899,340.5872513682841,321.80900155715693,328.10926832144395,347.2394697655404,328.51110298881235,391.66083832768487,352.23799556823633,295.3843168708868,359.11180143404306,353.86344150182566
97,97,hybrid,0,342.7215167747985,337.8245581930722,339.6527341887861,346.4452307796227,346.4955669133533,347.0206864524362,345.53223011489024,346.43133498363096,346.7349727826902,326.01794818228353,341.8892260752783,350.5635045534745
98,98,hybrid,0,345.62220105749725,346.1334329376381,348.1090058170122,345.49868353146644,346.57244106109715,346.8352013557354,344.76914520309026,345.4926301545913,348.62773554445243,333.5730218225674,347.9576598248006,347.94828271811787
99,99,hybrid,0,345.8412054948519,346.57349027998276,346.57349027998276,346.57349027998276,346.57349027998276,346.57349027998276,345.53272410102556,346.84666376002116,347.82359485368664,330.9477216274527,355.8996577900987,345.9770682153904
100,100,habit,0,312.58495914440687,350.52068564737783,273.4654305832132,94.6992545506419,73.91866146569299,68.2167486087309,301.0320283918876,348.5258374910906,288.55247558090775,75.38385652532833,83.25910501557327,69.86045898915307
101,101,habit,0,185.98568961547062,439.85802194983967,332.7355382761855,84.29737427559446,99.40455301592458,97.18676352721776,333.3569917444473,306.0862901000388,342.05324483174445,67.73471931828833,109.12640649584642,115.07066284123744
102,102,habit,0,292.5785082271692,142.38048196444157,250.6097582841015,141.32115362011672,127.40669149150592,126.95411428576578,339.99810075025437,422.97208695650505,349.8840572302421,128.10726393838553,155.8386733621026,156.48635582107354
103,103,habit,0,346.57349027998276,346.52956663416444,346.59519117730633,336.6937163073403,337.0472687017566,338.45648306014266,346.1573577316533,346.4774592211493,346.60612244770215,324.04580262661943,341.7052562420645,339.02250853157926
104,104,habit,0,276.26364289590606,262.1593265361167,322.6461827738388,232.5388105003437,202.53728275654277,209.43749025903685,311.1271719305963,297.8322456899078,337.717024423245,221.3783916338387,217.20077759371242,223.80557152882693
105,105,habit,0,345.8359768644691,346.29899633372156,349.6226402558691,346.57349027998276,346.57349027998276,346.57349027998276,346.53348882917453,347.0135226144645,346.27747081707,328.46670367564184,342.31762377745946,358.187638442402
106,106,habit,0,280.9004901599181,359.8134883036283,323.8906337777252,84.62425732967029,78.27222881470087,94.1523001527776,344.24978921731315,324.78045754417707,332.0199145630869,63.63442774899619,80.63435406774826,103.30275781099922
107,107,habit,0,256.8663663329749,311.83076639903845,303.7681233495026,112.91959163268027,126.55414539284777,105.08062232464155,310.90427816388166,472.2448552176073,386.2622225871039,101.37092819379419,129.80147167659177,119.61370992525525
108,108,habit,0,292.44605768983035,171.96892113482858,187.39042673879885,150.48711246647105,96.78285791020878,82.37036103619116,344.0329423032231,394.4313965660675,394.3344028447058,143.24758246752594,115.05468122569243,106.14163165151564
109,109,habit,0,319.0326508424906,381.54160800364195,367.30384682439427,322.55162100981687,315.6107576505692,264.5085239715108,323.70618545141133,393.5428963661715,289.184469416771,308.50486990075615,396.2557643443093,289.759741287283
110,110,habit,0,266.8371383141523,328.4098627053743,342.77516293868314,45.74982612337514,77.7235747248327,85.71701163903236,267.1930526664756,524.4986190450406,401.4142452675078,36.24317608459147,81.55596140524904,85.53599638551366
111,111,habit,0,317.1741446888657,310.63837772488927,372.3433629425308,98.83782789838511,68.47132921303302,95.0869277322776,325.52343218226974,349.23573745291753,374.743913508702,72.68839860599317,72.35868342024514,95.9508614435417
112,112,habit,0,345.1539893898556,345.7781365239782,341.77380986315535,285.5088556340938,298.41484823953556,273.48003906569835,346.2133726723431,346.54968440702714,347.79818585805083,271.496056493702,297.5129099055272,273.8385316255553
113,113,habit,0,211.9331968415069,196.75281048111725,207.15751830802657,210.25113185953944,181.87778079147182,182.85918010977832,236.53292575947435,758.199561891457,748.8552102523465,199.24110988095558,469.7504579965375,481.7720014187298
114,114,habit,0,309.19161394513094,319.7776090608946,345.27821683172385,181.7691565054227,167.17458665307143,190.09612048029237,320.49981332013857,349.04143385300426,392.1409666031475,170.32052721542505,169.86263316871583,199.97320084443237
115,115,habit,0,346.2039122707435,347.5591508420704,347.68938641303663,322.4060321741109,346.57349027998276,346.57349027998276,345.9331183264418,347.92052059928653,346.44658634056407,295.54482527553614,361.4076809345768,368.43914445610505
116,116,habit,0,314.38283697547547,329.80118060037955,348.44887657742754,80.60989251309434,79.63250486428997,42.25392071391984,346.2533782204622,354.25794698405923,344.78067207779725,64.47555058641004,83.10813018317434,48.816395155706104
117,117,habit,0,341.11539508217925,351.1742365554882,340.21449834723364,244.1958788034151,224.78332003444763,238.73450171859707,345.4125791445543,348.1849687223952,346.7586176958624,229.84511270349338,230.85091736480462,247.78415288273638
118,118,habit,0,325.5731614941965,340.4196930753647,294.2178844675575,102.8208602153528,108.62284000673685,88.31591074028913,343.7998919515912,357.820679875322,325.90918710944806,90.42626082525972,115.86127250968686,86.3227857606447
119,119,habit,0,346.57349027998276,346.57349027998276,346.57349027998276,337.55664293360746,339.8538713280658,332.4917039184114,344.97019418925214,349.72598720993415,349.79182980224846,326.4790834642333,339.27220445189676,340.8280947304305
120,120,habit,0,346.57349027998276,346.57349027998276,346.57349027998276,344.8872212170978,345.14100777690226,345.652475574619,345.6689350379542,348.8245169635443,347.22279097359075,330.836567513904,348.61064398547364,351.1208013513755
121,121,habit,0,109.59835756440292,194.98555785539511,112.09385946498395,104.42316693980769,103.87186900533801,75.88900253338687,110.25447227012307,1332.923960592076,77.3624379186231,87.4489281444676,860.6646348782186,91.2363192133577
122,122,habit,0,345.7325844501609,346.57349027998276,346.57349027998276,346.57349027998276,346.57349027998276,346.57349027998276,346.05314009539404,347.97538963414166,344.5630506675905,328.93362723053946,349.31390797705933,351.67191432400574
123,123,habit,0,331.4662229133885,346.57349027998276,346.57349027998276,160.99939137761928,160.8401932425952,167.55222777753931,341.91882781024447,343.7893280095407,356.79722298304364,148.72981884877788,171.46835388943373,174.88817353360713
124,124,habit,0,342.3037408206719,351.5814424283319,345.7953091857612,181.76473444597877,170.8062794626907,169.36204213804587,345.48452406054867,340.86965434086324,350.3564837904896,154.56965783883436,185.73908572527864,187.43386444666527
